"Something Lost, Something Gained",Hillary Rodham Clinton,Length: 13 hrs and 30 mins
"Tales from the Gas Station, Volume Two",Jack Townsend,Length: 9 hrs and 22 mins
Heretic Spellblade 7,K.D. Robertson,Length: 25 hrs and 11 mins
Industrial Strength Magic,Macronomicon,Length: 24 hrs and 2 mins
Scythe & Sparrow,Brynne Weaver,Length: Not Yet Known
The Monsters We Are,Suzanne Wright,Length: 10 hrs
Leading Effective Engineering Teams,Addy Osmani,Length: 9 hrs and 34 mins
The Summer I First Saw You,Elizabeth O'Roark,Length: 9 hrs and 3 mins
Chemistry: The Chemist,Grey Huffington,Length: 11 hrs and 10 mins
Pucking Billionaire,Misha Bell,Length: 6 hrs and 25 mins
Frames of Mind,Howard E. Gardner,Length: 19 hrs and 30 mins
A Sage's Legacy: Book 2,Xander Jade,Length: 10 hrs and 58 mins
Capture or Kill,"Vince Flynn,Don Bentley",Length: 12 hrs and 47 mins
Dungeon Life 3: An Isekai LitRPG,Khenal,Length: 20 hrs and 41 mins
Clive Cussler Ghost Soldier,Mike Maden,Length: 13 hrs and 12 mins
Targeted: Beirut,"Jack Carr,James M. Scott",Length: 13 hrs
The Cinnamon Bun Book Store,Laurie Gilmore,Length: 7 hrs and 55 mins
The Sinner,Dannika Dark,Length: 11 hrs and 4 mins
Beware of Chicken 4: A Xianxia Cultivation Novel,Casualfarmer,Length: 30 hrs and 8 mins
The Boyfriend Goal,Lauren Blakely,Length: 11 hrs and 51 mins
Here One Moment,Liane Moriarty,Length: 15 hrs and 54 mins
Terapia para llevar [Takeaway Therapy],Ana Pérez,Length: 4 hrs and 7 mins
Playbook,Rebecca Jenshak,Length: 10 hrs and 30 mins
Maid for You,"Virgil Knightley,Peter North",Length: 10 hrs and 31 mins
Breaker of Games,Timothy W. Long,Length: 15 hrs and 2 mins
Sorrow Draw,Tim Brumbaugh,Length: 13 hrs and 56 mins
The Rocker's Muse,Penelope Ward,Length: 7 hrs and 57 mins
Daemonbreaker,Jude Reid,Length: 7 hrs and 27 mins
Nexus,Yuval Noah Harari,Length: 17 hrs and 28 mins
Pretend Girlfriend,Cassie Cole,Length: 10 hrs and 20 mins
Now or Never,Janet Evanovich,Length: 8 hrs
The Ballad of Smallhope and Pennyroyal,Jodi Taylor,Length: 12 hrs and 13 mins
Daemonhammer,Darius Hinks,Length: 9 hrs and 39 mins
Silent Lies,Neva Altaj,Length: 9 hrs and 48 mins
Helpless,Cathy Glass,Length: 8 hrs and 7 mins
Creation Lake,Rachel Kushner,Length: 11 hrs and 10 mins
Campaign,"Alexey Osadchuk,Zachary J. Lorang - translated by",Length: 9 hrs and 1 min
Beyond Anxiety,Martha Beck,Length: 11 hrs
Loving Corrections,"adrienne maree brown,Janine de Novais",Length: 6 hrs and 41 mins
We Solve Murders,Richard Osman,Length: 14 hrs
The Third Gilmore Girl,"Kelly Bishop,Amy Sherman-Palladino",Length: 7 hrs
Red Sky Mourning,Jack Carr,Length: 15 hrs and 28 mins
The Godfather: A Film We Can't Refuse,Paramount Pictures,Length: 8 hrs and 27 mins
Nexus (Spanish Edition),Yuval Noah Harari,Length: 20 hrs
A World Made New: A Channeled Text,Paul Selig,Length: 11 hrs and 40 mins
